"CD_TOPIC";"LB_TOPIC_DESC";"CD_DIVISION";"LB_DIVISION_DESC"
"REV-INEQUAL-06-2016";"Tackling inequalities at their roots: new policies for fairness in education from early age";"EU.3.6.1.2.";"Trusted organisations, practices, services and policies that are necessary to build resilient, inclusive, participatory, open and creative societies in Europe, in particular taking into account migration, integration and demographic change"
"REV-INEQUAL-07-2016";"Spatial justice, social cohesion and territorial inequalities";"EU.3.6.1.2.";"Trusted organisations, practices, services and policies that are necessary to build resilient, inclusive, participatory, open and creative societies in Europe, in particular taking into account migration, integration and demographic change"
"REV-INEQUAL-07-2016";"Spatial justice, social cohesion and territorial inequalities";"EU.3.6.1.4.";"The promotion of sustainable and inclusive environments through innovative spatial and urban planning and design"
"REV-INEQUAL-08-2016";"Fighting inequalities through policies against tax fraud and tax evasion";"EU.3.6.1.1.";"The mechanisms to promote smart, sustainable and inclusive growth"
"REV-INEQUAL-09-2017";"Boosting inclusiveness of ICT-enabled research and innovation";"EU.3.6.1.2.";"Trusted organisations, practices, services and policies that are necessary to build resilient, inclusive, participatory, open and creative societies in Europe, in particular taking into account migration, integration and demographic change"
"REV-INEQUAL-10-2016";"Multi-stakeholder platform for enhancing youth digital opportunities";"EU.3.6.1.2.";"Trusted organisations, practices, services and policies that are necessary to build resilient, inclusive, participatory, open and creative societies in Europe, in particular taking into account migration, integration and demographic change"
"REV-INEQUAL-11-2017";"Current European and cross-national comparative research and research actions on Migration";"EU.3.6.1.1.";"The mechanisms to promote smart, sustainable and inclusive growth"
"REV-INEQUAL-11-2017";"Current European and cross-national comparative research and research actions on Migration";"EU.3.6.1.2.";"Trusted organisations, practices, services and policies that are necessary to build resilient, inclusive, participatory, open and creative societies in Europe, in particular taking into account migration, integration and demographic change"
"REV-INEQUAL-12-2017";"Research Social Platform on Migration and Asylum";"EU.3.6.1.1.";"The mechanisms to promote smart, sustainable and inclusive growth"
"REV-INEQUAL-12-2017";"Research Social Platform on Migration and Asylum";"EU.3.6.1.2.";"Trusted organisations, practices, services and policies that are necessary to build resilient, inclusive, participatory, open and creative societies in Europe, in particular taking into account migration, integration and demographic change"
"REV-INEQUAL-13-2017";"Research on employability, skills and labour market integration of migrants";"EU.3.6.1.1.";"The mechanisms to promote smart, sustainable and inclusive growth"
"REV-INEQUAL-13-2017";"Research on employability, skills and labour market integration of migrants";"EU.3.6.1.2.";"Trusted organisations, practices, services and policies that are necessary to build resilient, inclusive, participatory, open and creative societies in Europe, in particular taking into account migration, integration and demographic change"
"RISK FINANCE";"RISK FINANCE";"EU.2.2.";"Access to risk finance"
"RPAS-01";"SESAR UTM Concept Definition";"EU.3.4.7.";"SESAR JU"
"RPAS-02";"Drone information management";"EU.3.4.7.";"SESAR JU"
"RPAS-03";"Aircraft systems";"EU.3.4.7.";"SESAR JU"
"RPAS-04";"Ground-based technology";"EU.3.4.7.";"SESAR JU"
"RPAS-05";"Datalink";"EU.3.4.7.";"SESAR JU"
"RPAS-06";"Security & cyber-resilience";"EU.3.4.7.";"SESAR JU"
"RPAS-07";"Science for higher levels of automation";"EU.3.4.7.";"SESAR JU"
"RUR-01-2016";"Consolidated policy framework and governance models for synergies in rural-urban linkages";"EU.3.2.1.3.";"Empowerment of rural areas, support to policies and rural innovation"
"RUR-01-2018-2019";"Building modern rural policies on long-term visions and societal engagement";"EU.3.2.1.3.";"Empowerment of rural areas, support to policies and rural innovation"
"RUR-02-2017";"Coastal-rural interactions: Enhancing synergies between land and sea-based activities";"EU.3.2.1.3.";"Empowerment of rural areas, support to policies and rural innovation"
"RUR-02-2017";"Coastal-rural interactions: Enhancing synergies between land and sea-based activities";"EU.3.2.5.";"Cross-cutting marine and maritime research"
"RUR-02-2018";"Socio-economic impacts of digitisation of agriculture and rural areas";"EU.3.2.1.3.";"Empowerment of rural areas, support to policies and rural innovation"
"RUR-03-2017";"Towards 2030 - policies and decision support tools for an integrated approach to the management of land as a resource";"EU.3.2.1.1.";"Increasing production efficiency and coping with climate change, while ensuring sustainability and resilience"
"RUR-03-2017";"Towards 2030 - policies and decision support tools for an integrated approach to the management of land as a resource";"EU.3.2.1.3.";"Empowerment of rural areas, support to policies and rural innovation"
"RUR-03-2018";"Contracts for effective and lasting delivery of agri-environmental public goods";"EU.3.2.1.3.";"Empowerment of rural areas, support to policies and rural innovation"
"RUR-04-2016";"Water farms – improving farming and its impact on the supply of drinking water";"EU.3.2.1.1.";"Increasing production efficiency and coping with climate change, while ensuring sustainability and resilience"
"RUR-04-2016";"Water farms – improving farming and its impact on the supply of drinking water";"EU.3.2.1.2.";"Providing ecosystems services and public goods"
"RUR-04-2016";"Water farms – improving farming and its impact on the supply of drinking water";"EU.3.2.1.3.";"Empowerment of rural areas, support to policies and rural innovation"
"RUR-04-2018-2019";"Analytical tools and models to support policies related to agriculture and food";"EU.3.2.1.3.";"Empowerment of rural areas, support to policies and rural innovation"
"RUR-05-2017";"Novel public policies, business models and mechanisms for the sustainable supply of and payment for forest ecosystem services";"EU.3.2.1.4.";"Sustainable forestry"
"RUR-06-2016";"Crop diversification systems for the delivery of food, feed, industrial products and ecosystems services - from farm benefits to value-chain organisation";"EU.3.2.1.1.";"Increasing production efficiency and coping with climate change, while ensuring sustainability and resilience"
"RUR-06-2016";"Crop diversification systems for the delivery of food, feed, industrial products and ecosystems services - from farm benefits to value-chain organisation";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"RUR-07-2016";"Resource-efficient and profitable industrial crops on marginal land";"EU.3.2.1.1.";"Increasing production efficiency and coping with climate change, while ensuring sustainability and resilience"
"RUR-07-2016";"Resource-efficient and profitable industrial crops on marginal land";"EU.3.2.4.1.";"Fostering the bio-economy for bio-based industries"
"RUR-08-2016";"Demonstration of integrated logistics centres for food and non-food applications";"EU.3.2.2.3.";"A sustainable and competitive agri-food industry"
"RUR-08-2016";"Demonstration of integrated logistics centres for food and non-food applications";"EU.3.2.4.1.";"Fostering the bio-economy for bio-based industries"
"RUR-09-2017";"Business models for modern rural economies";"EU.3.2.1.3.";"Empowerment of rural areas, support to policies and rural innovation"
"RUR-09-2017";"Business models for modern rural economies";"EU.3.2.2.3.";"A sustainable and competitive agri-food industry"
"RUR-09-2017";"Business models for modern rural economies";"EU.3.2.4.1.";"Fostering the bio-economy for bio-based industries"
"RUR-09-2018";"Realising the potential of regional and local bio-based economies";"EU.3.2.4.1.";"Fostering the bio-economy for bio-based industries"
"RUR-10-2016-2017";"Thematic Networks compiling knowledge ready for practice";"EU.3.2.1.";"Sustainable agriculture and forestry"
"RUR-10-2016-2017";"Thematic Networks compiling knowledge ready for practice";"EU.3.2.2.";" Sustainable and competitive agri-food sector for a safe and healthy diet"
"RUR-10-2016-2017";"Thematic Networks compiling knowledge ready for practice";"EU.3.2.4.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"RUR-11-2016";"On-farm demonstrations: deepening farmer-to-farmer learning mechanisms";"EU.3.2.1.1.";"Increasing production efficiency and coping with climate change, while ensuring sustainability and resilience"
"RUR-11-2016";"On-farm demonstrations: deepening farmer-to-farmer learning mechanisms";"EU.3.2.1.2.";"Providing ecosystems services and public goods"
"RUR-11-2016";"On-farm demonstrations: deepening farmer-to-farmer learning mechanisms";"EU.3.2.1.3.";"Empowerment of rural areas, support to policies and rural innovation"
"RUR-12-2017";"Networking European farms to boost thematic knowledge exchanges and close the innovation gap";"EU.3.2.1.1.";"Increasing production efficiency and coping with climate change, while ensuring sustainability and resilience"
"RUR-12-2017";"Networking European farms to boost thematic knowledge exchanges and close the innovation gap";"EU.3.2.1.2.";"Providing ecosystems services and public goods"
"RUR-12-2017";"Networking European farms to boost thematic knowledge exchanges and close the innovation gap";"EU.3.2.1.3.";"Empowerment of rural areas, support to policies and rural innovation"
"RUR-13-2017";"Building a future science and education system fit to deliver to practice";"EU.3.2.1.";"Sustainable agriculture and forestry"
"RUR-13-2017";"Building a future science and education system fit to deliver to practice";"EU.3.2.2.";" Sustainable and competitive agri-food sector for a safe and healthy diet"
"RUR-13-2017";"Building a future science and education system fit to deliver to practice";"EU.3.2.4.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"RUR-13-2018";"Enabling the farm advisor community to prepare farmers for the digital age";"EU.3.2.1.3.";"Empowerment of rural areas, support to policies and rural innovation"
"RUR-14-2016";"Advisors' roles in the functioning of AKIS and advisory policies boosting innovation in sustainable agriculture";"EU.3.2.1.";"Sustainable agriculture and forestry"
"RUR-14-2016";"Advisors' roles in the functioning of AKIS and advisory policies boosting innovation in sustainable agriculture";"EU.3.2.2.";" Sustainable and competitive agri-food sector for a safe and healthy diet"
"RUR-14-2016";"Advisors' roles in the functioning of AKIS and advisory policies boosting innovation in sustainable agriculture";"EU.3.2.4.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"RUR-14-2018";"Digital solutions and e-tools to modernise the CAP";"EU.3.2.1.3.";"Empowerment of rural areas, support to policies and rural innovation"
"RUR-15-2017";"The benefits of working with others – fostering social capital in the farming sector";"EU.3.2.1.";"Sustainable agriculture and forestry"
"RUR-15-2017";"The benefits of working with others – fostering social capital in the farming sector";"EU.3.2.2.";" Sustainable and competitive agri-food sector for a safe and healthy diet"
"RUR-15-2017";"The benefits of working with others – fostering social capital in the farming sector";"EU.3.2.4.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"RUR-15-2018-2019-2020";"Thematic networks compiling knowledge ready for practice";"EU.3.2.1.1.";"Increasing production efficiency and coping with climate change, while ensuring sustainability and resilience"
"RUR-15-2018-2019-2020";"Thematic networks compiling knowledge ready for practice";"EU.3.2.1.2.";"Providing ecosystems services and public goods"
"RUR-15-2018-2019-2020";"Thematic networks compiling knowledge ready for practice";"EU.3.2.1.3.";"Empowerment of rural areas, support to policies and rural innovation"
"RUR-15-2018-2019-2020";"Thematic networks compiling knowledge ready for practice";"EU.3.2.1.4.";"Sustainable forestry"
"RUR-15-2018-2019-2020";"Thematic networks compiling knowledge ready for practice";"EU.3.2.2.3.";"A sustainable and competitive agri-food industry"
"RUR-15-2018-2019-2020";"Thematic networks compiling knowledge ready for practice";"EU.3.2.4.1.";"Fostering the bio-economy for bio-based industries"
"RUR-16-2017";"Optimising interactive innovation project approaches and the delivery of EU policies to speed up innovation in rural areas";"EU.3.2.1.";"Sustainable agriculture and forestry"
"RUR-16-2017";"Optimising interactive innovation project approaches and the delivery of EU policies to speed up innovation in rural areas";"EU.3.2.2.";" Sustainable and competitive agri-food sector for a safe and healthy diet"
"RUR-16-2017";"Optimising interactive innovation project approaches and the delivery of EU policies to speed up innovation in rural areas";"EU.3.2.4.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"RUR-16-2019";"Fuelling the potential of advisors for innovation";"EU.3.2.1.3.";"Empowerment of rural areas, support to policies and rural innovation"
"S2R-CFM-CCA-01-2015";"Start-up activities for System Platform Demonstrator Integrated Assessment and socio-economic effects";"EU.3.4.8.6.";"Cross-cutting themes and activities (CCA)"
"S2R-CFM-CCA-01-2017";"Improving railway services for users and operators";"EU.3.4.8.6.";"Cross-cutting themes and activities (CCA)"
"S2R-CFM-CCA-02-2015";"Energy and sustainability, including noise and vibrations baselines assessment";"EU.3.4.8.6.";"Cross-cutting themes and activities (CCA)"
"S2R-CFM-CCA-03-2015";"Integrated Mobility and Safety Management";"EU.3.4.8.6.";"Cross-cutting themes and activities (CCA)"
"S2R-CFM-IP1-01-2016";"Development of concepts towards the next generation of traction systems and management of wheel/rail adhesion";"EU.3.4.8.1.";"Innovation Programme 1 (IP1): Cost-efficient and reliable trains"
"S2R-CFM-IP1-01-2017";"Development of new technological concepts towards the next generation of rolling stock, applied to major subsystems such as Carbody, Running Gear, Brakes, Doors and Modular interiors";"EU.3.4.8.1.";"Innovation Programme 1 (IP1): Cost-efficient and reliable trains"
"S2R-CFM-IP1-02-2016";"Development of new technological concepts, standard specifications and architectures for train control and monitoring, with specific applications in train-to-ground communications and high safety electronic control of brakes";"EU.3.4.8.1.";"Innovation Programme 1 (IP1): Cost-efficient and reliable trains"
"S2R-CFM-IP2-01-2015";"Start-up activities for advanced signalling and automation system";"EU.3.4.8.2.";"Innovation Programme 2: Advanced traffic management and control systems"
"S2R-CFM-IP2-01-2017";"Enhancing railway signalling systems thanks to applying satellite positioning; developing an on-board safe Train Integrity; applying formal methods approach and standardised interfaces, and enhancing Traffic Management System (TMS) functions";"EU.3.4.8.2.";"Innovation Programme 2: Advanced traffic management and control systems"
"S2R-CFM-IP3-01-2016";"Research into enhanced track and switch and crossing system";"EU.3.4.8.3.";"Innovation Programme 3: Cost Efficient and Reliable High Capacity Infrastructure"
"S2R-CFM-IP3-01-2017";"Smart system energy management solutions and future station solutions";"EU.3.4.8.3.";"Innovation Programme 3: Cost Efficient and Reliable High Capacity Infrastructure"
"S2R-CFM-IP3-02-2016";"Intelligent maintenance systems and strategies";"EU.3.4.8.3.";"Innovation Programme 3: Cost Efficient and Reliable High Capacity Infrastructure"
"S2R-CFM-IP4-01-2015";"Shopping, booking and ticketing of multimodal travel solutions";"EU.3.4.8.4.";"Innovation Programme 4: IT Solutions for attractive railway services"
"S2R-CFM-IP4-01-2017";"Technical framework for attractive railway services";"EU.3.4.8.4.";"Innovation Programme 4: IT Solutions for attractive railway services"
"S2R-CFM-IP4-02-2015";"Travel companion and tracking services";"EU.3.4.8.4.";"Innovation Programme 4: IT Solutions for attractive railway services"
"S2R-CFM-IP4-02-2017";"IP4 overall integration and demonstration";"EU.3.4.8.4.";"Innovation Programme 4: IT Solutions for attractive railway services"
"S2R-CFM-IP5-01-2015";"Development of functional requirements for sustainable and attractive European Rail Freight";"EU.3.4.8.5.";"Innovation Programme 5: Technologies for sustainable and attractive European rail freight"
"S2R-CFM-IP5-01-2017";"Real-time information applications and energy efficient solutions for rail freight";"EU.3.4.8.5.";"Innovation Programme 5: Technologies for sustainable and attractive European rail freight"
"S2R-CFM-IP5-02-2015";"Start-up activities for Freight Automation";"EU.3.4.8.5.";"Innovation Programme 5: Technologies for sustainable and attractive European rail freight"
"S2R-CFM-IP5-03-2015";"Freight Propulsion concepts";"EU.3.4.8.5.";"Innovation Programme 5: Technologies for sustainable and attractive European rail freight"
"S2R-OC-CCA-01-2015";"Long-term needs of different actors in the railway sector";"EU.3.4.8.6.";"Cross-cutting themes and activities (CCA)"
"S2R-OC-CCA-01-2017";"Smart maintenance and human capital";"EU.3.4.8.6.";"Cross-cutting themes and activities (CCA)"
"S2R-OC-CCA-02-2015";"Energy usage, generation and saving approaches";"EU.3.4.8.6.";"Cross-cutting themes and activities (CCA)"
"S2R-OC-CCA-03-2015";"Noise reduction methodologies";"EU.3.4.8.6.";"Cross-cutting themes and activities (CCA)"
"S2R-OC-CCA-04-2015";"Safer infrastructure – improved object detection and prevention of safety critical events and integrated mobility";"EU.3.4.8.6.";"Cross-cutting themes and activities (CCA)"
"S2R-OC-IP1-01-2016";"Tools and methodologies supporting the development of next generation traction systems, and brakes";"EU.3.4.8.1.";"Innovation Programme 1 (IP1): Cost-efficient and reliable trains"
"S2R-OC-IP1-01-2017";"Innovative materials & modular design for rolling stock applications";"EU.3.4.8.1.";"Innovation Programme 1 (IP1): Cost-efficient and reliable trains"
"S2R-OC-IP1-02-2016";"Technology feasibility studies supporting the development of next generation TCMS, and safe control for brakes";"EU.3.4.8.1.";"Innovation Programme 1 (IP1): Cost-efficient and reliable trains"
"S2R-OC-IP1-02-2017";"Tools, methodologies and technological development of the next generation of Running Gear";"EU.3.4.8.1.";"Innovation Programme 1 (IP1): Cost-efficient and reliable trains"
"S2R-OC-IP2-01-2015";"Threat detection and profile protection definition for cyber-security assessment";"EU.3.4.8.2.";"Innovation Programme 2: Advanced traffic management and control systems"
"S2R-OC-IP2-01-2017";"Operational conditions of the signalling and automation systems; signalling system hazard analysis and GNSS SIS characterization along with Formal Method application in railway field";"EU.3.4.8.2.";"Innovation Programme 2: Advanced traffic management and control systems"
"S2R-OC-IP2-02-2015";"IT virtualization of testing environment";"EU.3.4.8.2.";"Innovation Programme 2: Advanced traffic management and control systems"
"S2R-OC-IP2-02-2017";"Energy harvesting methodologies for trackside and on-board signalling and communication devices. Adaptation of already existing technologies for developing a purely on-board Train Integrity";"EU.3.4.8.2.";"Innovation Programme 2: Advanced traffic management and control systems"
"S2R-OC-IP2-03-2015";"Technical specifications for a new Adaptable Communication system for all Railways.";"EU.3.4.8.2.";"Innovation Programme 2: Advanced traffic management and control systems"
"S2R-OC-IP3-01-2016";"Research into new radical ways of changing trains between tracks";"EU.3.4.8.3.";"Innovation Programme 3: Cost Efficient and Reliable High Capacity Infrastructure"
"S2R-OC-IP3-01-2017";"Smart metering and asset management of railway systems";"EU.3.4.8.3.";"Innovation Programme 3: Cost Efficient and Reliable High Capacity Infrastructure"
"S2R-OC-IP3-02-2017";"Future stations and accessibility (IP1 and IP3)";"EU.3.4.8.1.";"Innovation Programme 1 (IP1): Cost-efficient and reliable trains"
"S2R-OC-IP3-02-2017";"Future stations and accessibility (IP1 and IP3)";"EU.3.4.8.3.";"Innovation Programme 3: Cost Efficient and Reliable High Capacity Infrastructure"
"S2R-OC-IP3-03-2017";"Satellite and autonomous monitoring systems’ solution";"EU.3.4.8.3.";"Innovation Programme 3: Cost Efficient and Reliable High Capacity Infrastructure"
"S2R-OC-IP4-01-2016";"Interoperability Framework governance, ensuring its market uptake and sustainability";"EU.3.4.8.4.";"Innovation Programme 4: IT Solutions for attractive railway services"
"S2R-OC-IP4-01-2017";"Smart technologies for improved travel companion and trip tracking";"EU.3.4.8.4.";"Innovation Programme 4: IT Solutions for attractive railway services"
"S2R-OC-IP4-02-2016";"Interoperability Framework Converters";"EU.3.4.8.4.";"Innovation Programme 4: IT Solutions for attractive railway services"
"S2R-OC-IP5-01-2015";"Freight Automation on lines and in yards";"EU.3.4.8.5.";"Innovation Programme 5: Technologies for sustainable and attractive European rail freight"
"S2R-OC-IP5-01-2017";"Real-time yard and network management";"EU.3.4.8.5.";"Innovation Programme 5: Technologies for sustainable and attractive European rail freight"
"S2R-OC-IP5-02-2015";"Improved vehicle/train dynamics";"EU.3.4.8.5.";"Innovation Programme 5: Technologies for sustainable and attractive European rail freight"
"S2R-OC-IP5-03-2015";"Intelligent freight wagon with predictive maintenance";"EU.3.4.8.5.";"Innovation Programme 5: Technologies for sustainable and attractive European rail freight"
"SC1-BHC-01-2019";"Understanding causative mechanisms in co- and multimorbidities";"EU.3.1.1.";"Understanding health, wellbeing and disease"
"SC1-BHC-02-2019";"Systems approaches for the discovery of combinatorial therapies for complex disorders";"EU.3.1.1.";"Understanding health, wellbeing and disease"
"SC1-BHC-03-2018";"Exploiting research outcomes and application potential of the human microbiome for personalised prediction, prevention and treatment of disease";"EU.3.1.2.";"Preventing disease"
"SC1-BHC-04-2018";"Rare Disease European Joint Programme Cofund";"EU.3.1.3.";"Treating and managing disease"
"SC1-BHC-05-2018";"International flagship collaboration with Canada for human data storage, integration and sharing to enable personalised medicine approaches";"EU.3.1.5.";"Methods and data"
"SC1-BHC-07-2019";"Regenerative medicine: from new insights to new applications";"EU.3.1.3.";"Treating and managing disease"
"SC1-BHC-09-2018";"Innovation platforms for advanced therapies of the future";"EU.3.1.3.";"Treating and managing disease"
"SC1-BHC-10-2019";"Innovation Procurement: Next generation sequencing (NGS) for routine diagnosis";"EU.3.1.5.";"Methods and data"
"SC1-BHC-13-2019";"Mining big data for early detection of infectious disease threats driven by climate change and other factors";"EU.3.1.2.";"Preventing disease"
"SC1-BHC-14-2019";"Stratified host-directed approaches to improve prevention, treatment and/or cure of infectious diseases";"EU.3.1.3.";"Treating and managing disease"
"SC1-BHC-15-2018";"New anti-infective agents for prevention and/or treatment of neglected infectious diseases (NID)";"EU.3.1.3.";"Treating and managing disease"
"SC1-BHC-16-2018";"Global Alliance for Chronic Diseases (GACD) - Scaling-up of evidence-based health interventions at population level for the prevention, detection, and management of hypertension and/or diabetes";"EU.3.1.3.";"Treating and managing disease"
"SC1-BHC-18-2018";"Translational collaborative cancer research between Europe and the Community of Latin American and Caribbean States (CELAC)";"EU.3.1.3.";"Treating and managing disease"
"SC1-BHC-19-2019";"Implementation research for maternal and child health";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-BHC-21-2018";"Research on HIV, tuberculosis (TB) and/or hepatitis C (HCV) in patients with mono-, co-infections and/or comorbidities in the context of fostering collaboration with the Russian Federation";"EU.3.1.1.";"Understanding health, wellbeing and disease"
"SC1-BHC-22-2019";"Mental health in the workplace";"EU.3.1.2.";"Preventing disease"
"SC1-BHC-23-2018";"Novel patient-centred approaches for survivorship, palliation and/or end-of-life care";"EU.3.1.3.";"Treating and managing disease"
"SC1-BHC-25-2019";"Demonstration pilots for implementation of personalised medicine in healthcare";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-BHC-26-2018";"HTA research to support evidence-based healthcare";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-BHC-27-2018";"New testing and screening methods to identify endocrine disrupting chemicals";"EU.3.1.1.";"Understanding health, wellbeing and disease"
"SC1-BHC-28-2019";"The Human Exposome Project: a toolbox for assessing and addressing the impact of environment on health";"EU.3.1.2.";"Preventing disease"
"SC1-DTH-01-2019";"Big data and Artificial Intelligence for monitoring health status and quality of life after the cancer treatment";"EU.3.1.3.2.";"Transferring knowledge to clinical practice and scalable innovation actions"
"SC1-DTH-01-2019";"Big data and Artificial Intelligence for monitoring health status and quality of life after the cancer treatment";"EU.3.1.5.1.";"Improving halth information and better use of health data"
"SC1-DTH-03-2018";"Adaptive smart working and living environments supporting active and healthy ageing";"EU.3.1.4.1.";"Active ageing, independent and assisted living"
"SC1-DTH-03-2018";"Adaptive smart working and living environments supporting active and healthy ageing";"EU.3.1.4.2.";"Individual awareness and empowerment for self-management of health"
"SC1-DTH-05-2019";"Large scale implementation of digital innovation for health and care in an ageing society";"EU.3.1.4.1.";"Active ageing, independent and assisted living"
"SC1-DTH-07-2018";"Exploiting the full potential of in-silico medicine research for personalised diagnostics and therapies in cloud-based environments";"EU.3.1.5.3.";"Using in-silico medicine for improving disease management and prediction"
"SC1-DTH-08-2018";"Prototyping a European interoperable Electronic Health Record (EHR) exchange";"EU.3.1.5.1.";"Improving halth information and better use of health data"
"SC1-DTH-09-2019";"Scaling up the univocal Identification of Medicinal Products";"EU.3.1.5.2.";"Improving scientific tools and methods to support policy making and regulatory needs"
"SC1-DTH-10-2019-2020";"Digital health and care services";"EU.3.1.4.2.";"Individual awareness and empowerment for self-management of health"
"SC1-DTH-10-2019-2020";"Digital health and care services";"EU.3.1.5.1.";"Improving halth information and better use of health data"
"SC1-DTH-11-2019";"Large Scale pilots of personalised & outcome based integrated care";"EU.3.1.4.1.";"Active ageing, independent and assisted living"
"SC1-DTH-11-2019";"Large Scale pilots of personalised & outcome based integrated care";"EU.3.1.6.2.";"Optimising the efficiency and effectiveness of healthcare provision and reducing inequalities by evidence based decision making and dissemination of best practice, and innovative technologies and approaches"
"SC1-HCC-01-2018";"Supporting investment in smart living environments for ageing well through certification";"EU.3.1.4.1.";"Active ageing, independent and assisted living"
"SC1-HCC-02-2019";"Support for the large scale uptake of open service platforms in the Active and Healthy Ageing domain";"EU.3.1.4.1.";"Active ageing, independent and assisted living"
"SC1-HCC-02-2019";"Support for the large scale uptake of open service platforms in the Active and Healthy Ageing domain";"EU.3.1.5.1.";"Improving halth information and better use of health data"
"SC1-HCC-03-2018";"Support to further development of international cooperation in digital transformation of health and care";"EU.3.1.4.1.";"Active ageing, independent and assisted living"
"SC1-HCC-03-2018";"Support to further development of international cooperation in digital transformation of health and care";"EU.3.1.4.2.";"Individual awareness and empowerment for self-management of health"
"SC1-HCC-03-2018";"Support to further development of international cooperation in digital transformation of health and care";"EU.3.1.5.1.";"Improving halth information and better use of health data"
"SC1-HCC-04-2018";"Digital health and care services – support for strategy and (early) adoption";"EU.3.1.4.1.";"Active ageing, independent and assisted living"
"SC1-HCC-04-2018";"Digital health and care services – support for strategy and (early) adoption";"EU.3.1.4.2.";"Individual awareness and empowerment for self-management of health"
"SC1-HCC-04-2018";"Digital health and care services – support for strategy and (early) adoption";"EU.3.1.5.1.";"Improving halth information and better use of health data"
"SC1-HCC-05-2018";"Support to a Digital Health and Care Innovation initiative in the context of Digital Single Market strategy";"EU.3.1.4.1.";"Active ageing, independent and assisted living"
"SC1-HCC-05-2018";"Support to a Digital Health and Care Innovation initiative in the context of Digital Single Market strategy";"EU.3.1.4.2.";"Individual awareness and empowerment for self-management of health"
"SC1-HCC-05-2018";"Support to a Digital Health and Care Innovation initiative in the context of Digital Single Market strategy";"EU.3.1.5.1.";"Improving halth information and better use of health data"
"SC1-HCC-05-2018";"Support to a Digital Health and Care Innovation initiative in the context of Digital Single Market strategy";"EU.3.1.5.2.";"Improving scientific tools and methods to support policy making and regulatory needs"
"SC1-HCO-01-2016";"Valorisation of FP7 Health and H2020 SC1 research results";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-01-2018-2019-2020";"Actions in support of the International Consortium for Personalised Medicine";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-02-2016";"Standardisation of pre-analytical and analytical procedures for in vitro diagnostics in personalised medicine";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-02-2018";"Data integration and data-driven in-silico models for enabling personalised medicine - a European standardization framework";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-03-2017";"Implementing the Strategic Research Agenda on Personalised Medicine";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-04-2016";"Towards globalisation of the Joint Programming Initiative on Antimicrobial resistance";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-04-2018";"ERA-NET to support the Joint Programming in Neurodegenerative Diseases strategic plan (JPND)";"EU.3.1.1.";"Understanding health, wellbeing and disease"
"SC1-HCO-05-2016";"Coordinating personalised medicine research";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-05-2018";"Strengthen Regulatory Sciences and support for regulatory Scientific Advice";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-06-2016";"Towards an ERA-NET for building sustainable and resilient health system models";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-06-2018";"Establishment of an International Network of Social Sciences Research Centres to help address governance and other challenges in the preparedness for and the response to infectious threats";"EU.3.1.1.";"Understanding health, wellbeing and disease"
"SC1-HCO-07-2017";"Global Alliance for Chronic Diseases (GACD) prevention and management of mental disorders";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-08-2017";"Actions to bridge the divide in European health research and innovation";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-08-2019";"Creation of a European wide sustainable clinical research network for infectious diseases";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-09-2016";"EU mHealth hub including evidence for the integration of mHealth in the healthcare systems";"EU.3.1.5.";"Methods and data"
"SC1-HCO-09-2018";"Building international efforts on population and patient cohorts";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-10-2016";"Support for Europe’s leading Health ICT SMEs";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-10-2018";"Coordinating European brain research and developing global initiatives";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-11-2016";"Coordinated action to support the recognition of Silver Economy opportunities arising from demographic change";"EU.3.1.4.";"Active ageing and self-management of health"
"SC1-HCO-11-2018";"Strategic collaboration in health research and innovation between EU and China";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-HCO-12-2016";"Digital health literacy";"EU.3.1.4.";"Active ageing and self-management of health"
"SC1-HCO-12-2018";" Innovation in healthcare - a CSA towards using pre-commercial procurement and public procurement of innovative solutions in healthcare systems";"EU.3.1.6.";"Health care provision and integrated care"
